Query,Assessment_url
I am hiring for Java developers who can also collaborate effectively with my business teams.,https://www.shl.com/solutions/products/java-programming-test/
I am hiring for Java developers who can also collaborate effectively with my business teams.,https://www.shl.com/solutions/products/teamwork-collaboration/
I am hiring for Java developers who can also collaborate effectively with my business teams.,https://www.shl.com/solutions/products/verify-interactive/
I am hiring for Java developers who can also collaborate effectively with my business teams.,https://www.shl.com/solutions/products/opq32/
"Looking to hire mid-level professionals who are proficient in Python, SQL and JavaScript.",https://www.shl.com/solutions/products/python-coding-assessment/
"Looking to hire mid-level professionals who are proficient in Python, SQL and JavaScript.",https://www.shl.com/solutions/products/sql-assessment/
"Looking to hire mid-level professionals who are proficient in Python, SQL and JavaScript.",https://www.shl.com/solutions/products/javascript-test/
"Looking to hire mid-level professionals who are proficient in Python, SQL and JavaScript.",https://www.shl.com/solutions/products/verify-numerical-reasoning/
"Looking to hire mid-level professionals who are proficient in Python, SQL and JavaScript.",https://www.shl.com/solutions/products/coding-challenge/
"Here is a JD text, can you recommend some assessment that can help me screen applications. I am hiring for an analyst and wants applications to screen using Cognitive and personality tests",https://www.shl.com/solutions/products/verify-numerical-reasoning/
"Here is a JD text, can you recommend some assessment that can help me screen applications. I am hiring for an analyst and wants applications to screen using Cognitive and personality tests",https://www.shl.com/solutions/products/verify-verbal-reasoning/
"Here is a JD text, can you recommend some assessment that can help me screen applications. I am hiring for an analyst and wants applications to screen using Cognitive and personality tests",https://www.shl.com/solutions/products/opq32/
"Here is a JD text, can you recommend some assessment that can help me screen applications. I am hiring for an analyst and wants applications to screen using Cognitive and personality tests",https://www.shl.com/solutions/products/verify-inductive-reasoning/
Need sales representatives with excellent communication and interpersonal skills,https://www.shl.com/solutions/products/sales-assessment/
Need sales representatives with excellent communication and interpersonal skills,https://www.shl.com/solutions/products/customer-service-assessment/
Need sales representatives with excellent communication and interpersonal skills,https://www.shl.com/solutions/products/opq32/
Looking for senior leadership candidates with strategic thinking abilities,https://www.shl.com/solutions/products/leadership-assessment/
Looking for senior leadership candidates with strategic thinking abilities,https://www.shl.com/solutions/products/management-judgement/
Looking for senior leadership candidates with strategic thinking abilities,https://www.shl.com/solutions/products/verify-numerical-reasoning/
Customer service representatives who are empathetic and problem-solvers,https://www.shl.com/solutions/products/customer-service-assessment/
Customer service representatives who are empathetic and problem-solvers,https://www.shl.com/solutions/products/situational-judgement-test/
"Need data analysts proficient in Excel, SQL and data visualization",https://www.shl.com/solutions/products/excel-assessment/
"Need data analysts proficient in Excel, SQL and data visualization",https://www.shl.com/solutions/products/sql-assessment/
"Need data analysts proficient in Excel, SQL and data visualization",https://www.shl.com/solutions/products/verify-numerical-reasoning/
"Need data analysts proficient in Excel, SQL and data visualization",https://www.shl.com/solutions/products/data-analysis-test/
Senior software engineer with full-stack development experience,https://www.shl.com/solutions/products/coding-challenge/
Senior software engineer with full-stack development experience,https://www.shl.com/solutions/products/verify-interactive/
Senior software engineer with full-stack development experience,https://www.shl.com/solutions/products/technical-skills-assessment/
Project manager with strong organizational and team management skills,https://www.shl.com/solutions/products/management-judgement/
Project manager with strong organizational and team management skills,https://www.shl.com/solutions/products/leadership-assessment/
Project manager with strong organizational and team management skills,https://www.shl.com/solutions/products/opq32/
Marketing professional with creativity and analytical mindset,https://www.shl.com/solutions/products/creativity-assessment/
Marketing professional with creativity and analytical mindset,https://www.shl.com/solutions/products/verify-numerical-reasoning/
